Field,Value
TargetName,Vanguard Logistics Solutions (hypothetical private 3PL / freight brokerage and warehousing company)
Revenue_LTM_mm,950
EBITDA_LTM_mm,105
EBIT_LTM_mm,82
NetIncome_LTM_mm,48
NetDebt_mm,180
RevenueGrowthY1,0.08
RevenueGrowthY2,0.08
RevenueGrowthY3,0.07
RevenueGrowthY4,0.07
RevenueGrowthY5,0.06
EBITDAMarginTerminal,0.125
DA_pctRevenue,0.025
Capex_pctRevenue,0.03
NWC_pctRevenue,0.06
TaxRate,0.25
WACC,0.09
TerminalGrowthRate,0.025
LBO_TermLoanTurns,3.5
LBO_SubNotesTurns,1.5
LBO_TermLoanRate,0.085
LBO_SubNotesRate,0.115
LBO_TermLoanMandatoryAmortPct,0.05
LBO_CashSweepPct,0.75
LBO_TransactionFeePct,0.02
LBO_TargetIRR,0.22
LBO_HoldPeriodYears,5
