TargetReturn,Volatility
0.045,0.06
0.0467,0.056
0.0483,0.0548
0.05,0.0542
0.0517,0.0542
0.0533,0.055
0.055,0.0564
0.0567,0.0584
0.0583,0.0607
0.06,0.0634
0.0617,0.0664
0.0633,0.0697
0.065,0.0733
0.0667,0.0771
0.0683,0.0811
0.07,0.0852
0.0717,0.0895
0.0733,0.094
0.075,0.0986
0.0767,0.1033
0.0783,0.1082
0.08,0.1131
0.0817,0.1177
0.0833,0.1226
0.085,0.1277
0.0867,0.1329
0.0883,0.1383
0.09,0.1439
0.0917,0.1497
0.0933,0.1556
0.095,0.1616
0.0967,0.1676
0.0983,0.1738
0.1,0.1801
0.1017,0.1864
0.1033,0.1928
0.105,0.1993
0.1067,0.2058
0.1083,0.2123
0.11,0.22
